date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,bitcoin_close_change,volume_btc,volume_currency,gold_value,gold_change,total_crimes,computer_related,financial_crimes,num_arrests,num_domestic,avg_latitude,avg_longitude
2017-09-29,0.07137109752084393,28839,4990,8631,11416,-0.4269425857221597,0.4503144356893229,20881,3802,4183.47,4227.62,4022.02,4164.82,-0.4783934391757061,12191.9,50336312.66,1283.1,-0.0194802664900462,808,1,23,149,111,41.84961289245057,-87.67265248293491
2017-09-30,0.08955795758904228,21617,2861,5951,8402,-0.4006233691746477,0.4529466593474803,15010,4403,4162.04,4349.0,4154.28,4326.09,3.872196157336938,7496.79,32073448.82,1283.1,0.0,744,0,16,137,112,41.85304822602463,-87.67356658949869
2017-10-01,0.09614388848805933,22646,3083,6766,9117,-0.4103694058634065,0.4538645896293446,14960,3680,4326.09,4377.22,4216.0,4377.22,1.1818986660009356,7211.34,30871704.81,1283.1,0.0,846,0,59,153,151,41.84894509415432,-87.6721337103483
2017-10-02,0.0742136755341497,32289,3757,7871,13939,-0.3995811374898817,0.4272720414493565,24771,6722,4369.33,4453.0,4352.0,4391.48,0.32577754830689365,8259.840000000002,36293751.01000001,1273.7,-0.7326007326007189,751,1,21,135,117,41.85089934663832,-87.6735666185034
2017-10-03,0.08827827187108206,27828,3164,7502,12078,-0.3844743944049024,0.4239751393877548,20662,5084,4391.41,4425.0,4218.0,4315.83,-1.72265386612257,12468.069999999998,53551605.47000001,1271.25,-0.19235298735966744,739,1,15,148,92,41.85205571268262,-87.67296448682087
2017-10-04,0.06218192172333061,29299,4388,7156,11259,-0.3985095316730253,0.4451052614237493,21929,6496,4315.73,4343.0,4170.07,4219.53,-2.2313205107708183,8519.010000000002,36068254.92,1274.25,0.2359882005899649,743,1,22,135,109,41.84717755803712,-87.67066661515658
2017-10-05,0.06791464599040775,26299,4349,7463,10839,-0.3951231052584656,0.4396818691135243,18269,3648,4219.74,4358.97,4137.96,4301.09,1.9329166992532398,8419.97,35912272.84,1274.5,0.01961938395134144,747,0,17,151,110,41.85012464711939,-87.67190442949526
2017-10-06,0.07999125819135472,3143,445,974,1258,-0.371773488836832,0.4085730658299768,2205,466,4338.0,4375.0,4321.82,4362.95,1.43824007402773,607.36,2640369.84,1261.8,-0.9964692036092626,748,2,20,144,102,41.85111319502299,-87.66942457695131
2017-10-07,0.10372224249117956,2513,304,750,1033,-0.36492319769119774,0.4382920931937734,1760,426,4334.64,4463.0,4327.41,4423.3,1.3832384052074875,1975.7,8716496.85,1261.8,0.0,711,1,9,133,129,41.849015941423346,-87.6690370587415
2017-10-08,0.07199982188415578,20808,2971,5630,8686,-0.4325407776232253,0.4532814554015165,14267,3521,4422.72,4612.0,4404.5,4597.98,3.9490877851377837,10083.86,45490443.57,1261.8,0.0,717,2,11,139,136,41.84114686066574,-87.66889390282574
2017-10-09,0.0516616798818013,30890,5910,8741,12231,-0.395105703752375,0.41935159501140856,22410,4008,4597.97,4865.0,4541.0,4764.7,3.6259400867337366,12923.65,60473207.32000002,1278.75,1.3433190679980944,746,1,16,147,124,41.84236746756368,-87.66594614870327
2017-10-10,0.019387876764854463,30792,6736,8365,11909,-0.4384192895570263,0.42332057027999664,22274,3782,4761.67,4909.97,4700.0,4749.29,-0.3234201523705571,11666.04,56088789.38000001,1291.4,0.9892473118279675,702,0,28,106,112,41.847350848367704,-87.66819053567889
2017-10-11,0.07089153729156097,28834,4145,8514,12114,-0.40594257987098703,0.4083806402065459,20906,4061,4747.9,4869.78,4700.0,4822.01,1.5311762389746741,9866.92,47256315.43,1289.25,-0.16648598420320182,614,1,10,111,92,41.8372351520743,-87.66455466529047
2017-10-12,0.07359192933828214,43836,6122,12448,20902,-0.3850567629930093,0.41668464748830064,30621,4364,4822.01,5445.0,4793.66,5445.0,12.919716052019803,19916.22,102559923.25,1290.25,0.07756447547022649,764,2,18,148,88,41.853504979741494,-87.67267629987799
2017-10-13,0.08875354613749488,42749,6106,13228,19252,-0.3578315021900051,0.42516838618844505,29633,4163,5444.0,5846.43,5380.0,5653.6,3.831037649219482,27827.379999999994,155848051.88000005,1299.6,0.7246657624491393,768,0,17,138,113,41.846449249072535,-87.6716727537427
2017-10-14,0.08715172697468447,28126,4212,8507,11465,-0.3775708835897405,0.4367159635310813,19587,3942,5653.58,5817.34,5558.26,5801.29,2.612317815197396,8410.949999999999,47779356.46000001,1299.6,0.0,646,1,10,119,112,41.84503125407257,-87.6692553440457
2017-10-15,0.09381148479183064,26027,3806,7763,10472,-0.3510939904963175,0.439606233975524,17716,3986,5795.01,5830.0,5415.0,5679.7,-2.0959131503510475,11542.950000000004,64464008.42000001,1299.6,0.0,639,0,7,105,125,41.84477320009049,-87.66888952937137
2017-10-16,0.11244543221152176,32320,4336,10291,13576,-0.3582096379944346,0.4532115181585732,23546,4117,5683.92,5807.11,5548.0,5745.72,1.1623853372537465,9066.81,51508749.1,1303.3,0.2847029855340244,761,0,24,115,106,41.84709417435784,-87.66839287014683
2017-10-17,0.06470091939526364,30497,5518,8797,11778,-0.3660543962673859,0.4283174575699069,21827,4404,5752.2,5776.31,5506.78,5597.31,-2.5829661034648344,9105.29,51035573.55000001,1284.75,-1.4233100590807957,715,1,31,117,105,41.84919949399854,-87.66784716452067
