date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,volume_btc,volume_currency,bitcoin_change
2017-12-02,0.13316218934487953,4607,635,1562,1801,-0.38273703339345216,0.5039296073639621,2992,609,10950.04,11049.44,10831.72,10872.0,860.4399999999999,9436466.540000001,0.29103957861527086
2017-12-03,0.11739950867562485,47116,7248,16374,17734,-0.3861284492368557,0.46721427219288686,30844,5760,10875.68,11800.01,10513.16,11250.0,14238.52,160176290.44000003,3.47682119205297
2017-12-04,0.0832228303888334,65439,10302,20244,28969,-0.41907467449936703,0.4595572242873726,48000,5924,11250.0,11613.07,10850.0,11613.07,13621.51,154122917.90000004,3.2272888888888795
2017-12-05,0.09068250175933253,57817,9771,18186,23174,-0.395972224362831,0.4671562358747444,39230,6686,11578.92,11850.0,11384.25,11677.0,11712.45,136483524.5,0.5505004275355274
2017-12-06,0.09463971037963917,81698,15297,28976,30388,-0.3890550188837496,0.4507860752558665,50671,7037,11676.99,13700.0,11659.8,13623.5,19784.890000000003,250560790.31000003,16.669521281150978
2017-12-07,0.055491621327351116,132408,32143,45178,47977,-0.40982134080595106,0.44943650686940345,69766,7110,13623.0,16879.26,13401.61,16850.31,6046051757.150001,1.7754000001833072e+17,23.685616765148467
2017-12-08,0.06678211282172104,110619,24848,37394,40334,-0.40394430452950075,0.45212536855086555,66754,8043,16867.98,17294.85,13906.1,16047.61,18369937.5,2.00274e+17,-4.763710578618441
2017-12-09,0.07581203004372838,68277,13951,22799,25119,-0.4257905237408662,0.4668163587186123,40587,6408,16048.18,16313.18,13151.47,14843.42,3.5400000000527324e+16,2.54066e+17,-7.503858830068777
2017-12-10,0.07910336034648013,70665,13348,22786,27715,-0.42449805951054503,0.47152459351633186,44312,6816,14839.98,15783.2,13031.0,15059.6,35439055.970000006,1.30202e+17,1.4564029044519478
2017-12-11,0.08440658273004345,97390,16348,31428,42061,-0.41243356372156437,0.4555508337572032,66504,7553,15060.45,17399.18,15024.56,16732.47,27192492024.38,4.01282e+17,11.108329570506537
2017-12-12,0.08168296338889394,87675,17240,29848,32687,-0.3975348543229693,0.4496871054298051,55246,7900,16733.29,17560.65,16254.53,17083.9,30583841269.069996,4.8385e+17,2.1002876443226848
2017-12-13,0.07704025163735172,77117,15348,25642,29232,-0.4034064734375325,0.4511675564401725,50472,6895,17083.9,17267.96,15669.86,16286.82,37484345883.119995,5.6197e+17,-4.6656793823424465
2017-12-14,0.08944249077378928,70699,13250,23717,26775,-0.39046168937174414,0.45894430528968466,46085,6956,16286.82,16941.08,16023.64,16467.91,112212098889.12,3.146e+17,1.1118806495067801
2017-12-15,0.0771207428381724,73487,15307,24056,26650,-0.39199143528549135,0.4604454084669333,49737,7474,16467.91,17987.03,16442.2,17604.85,9330049964373248.0,3.6144e+17,6.903972635264566
